"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Appraisal Subcommittee","Agency Overall","2018","0","4","4","0"
"Office of Special Counsel","Agency Overall","2021","47","135","169","13"
"Farm Credit System Insurance Corporation","Agency Overall","2015","0","11","11","0"
"United States Trade and Development Agency","Agency Overall","2024","13","85","83","15"
"Institute of Museum and Library Services","Agency Overall","2015","2","34","33","3"
"Selective Service System","Agency Overall","2024","0","73","73","0"
"Court Services and Offender Supervision Agency","Agency Overall","2024","23","588","596","15"
"Presidio Trust","Agency Overall","2022","2","9","9","2"
"Office of Science and Technology Policy","Agency Overall","2021","102","129","100","131"
"Department of Agriculture","Agency Overall","2019","6593","26458","26094","6957"
"National Indian Gaming Commission","Agency Overall","2015","10","43","34","19"
"Farm Credit Administration","Agency Overall","2019","2","21","21","2"
"Nuclear Regulatory Commission","Agency Overall","2024","122","664","461","325"
"U.S. Department of State","Agency Overall","2019","11324","8589","6545","13368"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","89","2348","2232","205"
"U.S. Railroad Retirement Board","Agency Overall","2015","9","123","122","10"
"Office of Science and Technology Policy","Agency Overall","2023","157","64","45","176"
"Export-Import Bank of the U.S.","Agency Overall","2022","30","84","90","24"
"National Endowment for the Arts","Agency Overall","2017","0","91","81","10"
"National Indian Gaming Commission","Agency Overall","2016","19","50","26","43"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","30","2","2","30"
"Department of Education","Agency Overall","2016","370","2445","2307","508"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","0","0","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2023","12","27","12","27"
"United States Postal Service","Agency Overall","2017","200","3102","3140","162"
"Federal Energy Regulatory Commission","Agency Overall","2021","53","37","35","55"
"Federal Reserve System","Agency Overall","2024","86","1098","1072","112"
"U.S. International Development Finance Corporation","Agency Overall","2023","69","50","30","89"
"National Transportation Safety Board","Agency Overall","2016","690","471","272","889"
"United States Postal Service","Agency Overall","2016","197","2718","2734","181"
"Armed Forces Retirement Home","Agency Overall","2021","0","9","9","0"
"U.S. Agency for International Development","Agency Overall","2021","399","329","297","431"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","0","2","2","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","0","1","1","0"
"U.S. Railroad Retirement Board","Agency Overall","2018","8","87","86","9"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","1","15","12","4"
"United States International Trade Commission","Agency Overall","2016","2","27","29","0"
"Council on Environmental Quality","Agency Overall","2019","53","119","130","42"
